L_Gene	L_ident	L_MeanUMI	R_Gene	R_ident	R_MeanUMI	Str
pp_L_4_Nampt	pp_L_4	0.259683343333333	epi_R_5_F11r	epi_R_5	0.332622204504505	0.00399658028582732
pp_L_4_Nampt	pp_L_4	0.259683343333333	epi_R_6_F11r	epi_R_6	0.866368260159363	0.00399658028582732
pp_L_0_Hsp90aa1	pp_L_0	3.50859169433551	epi_R_1_F11r	epi_R_1	0.339669138198198	0.729568401469846
pp_L_0_Hsp90aa1	pp_L_0	3.50859169433551	epi_R_2_F11r	epi_R_2	0.363637634726143	0.729568401469846
pp_L_0_Hsp90aa1	pp_L_0	3.50859169433551	epi_R_3_F11r	epi_R_3	0.486436020930233	0.729568401469846
pp_L_0_Hsp90aa1	pp_L_0	3.50859169433551	epi_R_4_F11r	epi_R_4	0.27837125443038	0.729568401469846
pp_L_0_Hsp90aa1	pp_L_0	3.50859169433551	epi_R_5_F11r	epi_R_5	0.332622204504505	0.729568401469846
pp_L_0_Hsp90aa1	pp_L_0	3.50859169433551	epi_R_6_F11r	epi_R_6	0.866368260159363	0.729568401469846
pp_L_1_Hsp90aa1	pp_L_1	3.63731169400922	epi_R_1_F11r	epi_R_1	0.339669138198198	0.78408183340709
pp_L_1_Hsp90aa1	pp_L_1	3.63731169400922	epi_R_2_F11r	epi_R_2	0.363637634726143	0.78408183340709
pp_L_1_Hsp90aa1	pp_L_1	3.63731169400922	epi_R_3_F11r	epi_R_3	0.486436020930233	0.78408183340709
pp_L_1_Hsp90aa1	pp_L_1	3.63731169400922	epi_R_4_F11r	epi_R_4	0.27837125443038	0.78408183340709
pp_L_1_Hsp90aa1	pp_L_1	3.63731169400922	epi_R_5_F11r	epi_R_5	0.332622204504505	0.78408183340709
pp_L_1_Hsp90aa1	pp_L_1	3.63731169400922	epi_R_6_F11r	epi_R_6	0.866368260159363	0.78408183340709
pp_L_2_Hsp90aa1	pp_L_2	3.76526970279465	epi_R_1_F11r	epi_R_1	0.339669138198198	0.840219068494726
pp_L_2_Hsp90aa1	pp_L_2	3.76526970279465	epi_R_2_F11r	epi_R_2	0.363637634726143	0.840219068494726
pp_L_2_Hsp90aa1	pp_L_2	3.76526970279465	epi_R_3_F11r	epi_R_3	0.486436020930233	0.840219068494726
pp_L_2_Hsp90aa1	pp_L_2	3.76526970279465	epi_R_4_F11r	epi_R_4	0.27837125443038	0.840219068494726
pp_L_2_Hsp90aa1	pp_L_2	3.76526970279465	epi_R_5_F11r	epi_R_5	0.332622204504505	0.840219068494726
pp_L_2_Hsp90aa1	pp_L_2	3.76526970279465	epi_R_6_F11r	epi_R_6	0.866368260159363	0.840219068494726
pp_L_3_Hsp90aa1	pp_L_3	3.59407163222222	epi_R_1_F11r	epi_R_1	0.339669138198198	0.765550441388729
pp_L_3_Hsp90aa1	pp_L_3	3.59407163222222	epi_R_2_F11r	epi_R_2	0.363637634726143	0.765550441388729
pp_L_3_Hsp90aa1	pp_L_3	3.59407163222222	epi_R_3_F11r	epi_R_3	0.486436020930233	0.765550441388729
pp_L_3_Hsp90aa1	pp_L_3	3.59407163222222	epi_R_4_F11r	epi_R_4	0.27837125443038	0.765550441388729
pp_L_3_Hsp90aa1	pp_L_3	3.59407163222222	epi_R_5_F11r	epi_R_5	0.332622204504505	0.765550441388729
pp_L_3_Hsp90aa1	pp_L_3	3.59407163222222	epi_R_6_F11r	epi_R_6	0.866368260159363	0.765550441388729
pp_L_4_Hsp90aa1	pp_L_4	4.01286406777778	epi_R_1_F11r	epi_R_1	0.339669138198198	0.954353457504865
pp_L_4_Hsp90aa1	pp_L_4	4.01286406777778	epi_R_2_F11r	epi_R_2	0.363637634726143	0.954353457504865
pp_L_4_Hsp90aa1	pp_L_4	4.01286406777778	epi_R_3_F11r	epi_R_3	0.486436020930233	0.954353457504865
pp_L_4_Hsp90aa1	pp_L_4	4.01286406777778	epi_R_4_F11r	epi_R_4	0.27837125443038	0.954353457504865
pp_L_4_Hsp90aa1	pp_L_4	4.01286406777778	epi_R_5_F11r	epi_R_5	0.332622204504505	0.954353457504865
