L_Gene	L_ident	L_MeanUMI	R_Gene	R_Ident	R_MeanUMI	Str
pp_L_4_Il16_Slpi	pp_L_4	0.962278462222223	pp_R_0_Cd48	pp_R_0	1.67966765860566	0.0281743073196175
pp_L_4_Tgfb1	pp_L_4	0.934349926666667	pp_R_0_Cxcr4	pp_R_0	0.38326692875817	0.05173917097229
pp_L_4_B2m	pp_L_4	4.02455347777778	pp_R_0_Hfe	pp_R_0	0.437573387363834	0.959921588913307
pp_L_4_Il1b	pp_L_4	0.386983978888889	pp_R_0_Il1r2	pp_R_0	0.904035527015251	0.00887536709937022
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_0_Il2rg	pp_R_0	0.566980150326797	0.016163604906663
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_0_Itgax	pp_R_0	0.577904548910675	0.016163604906663
pp_L_4_Adam17_Lgals3bp_Selplg_Timp2	pp_L_4	2.75742707888889	pp_R_0_Itgb1	pp_R_0	1.4449110130719	0.204244973110713
pp_L_4_Icam1_Selplg_Selplg	pp_L_4	4.00891315222223	pp_R_0_Itgb2	pp_R_0	1.17475030261438	0.376404648459736
pp_L_4_B2m	pp_L_4	4.02455347777778	pp_R_0_Klrd1	pp_R_0	0.484272115141612	0.959921588913307
pp_L_4_Mfng	pp_L_4	0.203306602222222	pp_R_0_Notch2	pp_R_0	0.265779358714597	0.00244964594204325
pp_L_4_Selplg	pp_L_4	1.74333729555556	pp_R_0_Plaur	pp_R_0	0.30697942124183	0.180120521776536
pp_L_4_Apoe	pp_L_4	0.410025462222222	pp_R_0_Scarb1	pp_R_0	0.158775584640523	0.00996373131451547
pp_L_4_Apoe_Lrpap1	pp_L_4	0.777632348888889	pp_R_0_Sorl1	pp_R_0	0.332640788235294	0.0179725346915154
pp_L_4_Ltb	pp_L_4	0.266019595555556	pp_R_0_Tnfrsf1a	pp_R_0	0.413551440631808	0.00419399213445699
pp_L_4_Il1b	pp_L_4	0.386983978888889	pp_R_1_Adrb2	pp_R_1	0.344057455299539	0.00887536709937022
pp_L_4_Ccl3_Ccl4	pp_L_4	3.24461253777777	pp_R_1_Ccr1	pp_R_1	0.868227867281106	0.429813253874024
pp_L_4_Ccl3_Ccl4_Gnai2_Il16	pp_L_4	5.29492294111111	pp_R_1_Ccr5	pp_R_1	1.10597470691244	0.600352770381141
pp_L_4_Il16_Ltb_Slpi	pp_L_4	1.22829805777778	pp_R_1_Cd40	pp_R_1	1.16243680023041	0.0323682994540745
pp_L_4_Il16_Slpi_Vim	pp_L_4	1.65176038111111	pp_R_1_Cd44	pp_R_1	3.07268600253456	0.0563481520764486
pp_L_4_Il16_Slpi	pp_L_4	0.962278462222223	pp_R_1_Cd47	pp_R_1	2.26830560276498	0.0281743073196175
pp_L_4_Il16_Slpi	pp_L_4	0.962278462222223	pp_R_1_Cd48	pp_R_1	1.33598771198157	0.0281743073196175
pp_L_4_Selplg	pp_L_4	1.74333729555556	pp_R_1_Csf3r	pp_R_1	0.243285923502304	0.180120521776536
pp_L_4_Tgfb1	pp_L_4	0.934349926666667	pp_R_1_Cxcr4	pp_R_1	1.02588323271889	0.05173917097229
pp_L_4_B2m	pp_L_4	4.02455347777778	pp_R_1_Hfe	pp_R_1	0.360012382258065	0.959921588913307
pp_L_4_Il1b	pp_L_4	0.386983978888889	pp_R_1_Il1r2	pp_R_1	0.397601114746544	0.00887536709937022
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_1_Il2rg	pp_R_1	0.618124048847926	0.016163604906663
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_1_Itgal	pp_R_1	0.355041839170507	0.016163604906663
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_1_Itgax	pp_R_1	0.356593969124424	0.016163604906663
pp_L_4_Adam17_Lgals3bp_Selplg_Timp2	pp_L_4	2.75742707888889	pp_R_1_Itgb1	pp_R_1	1.54782963041475	0.204244973110713
pp_L_4_Icam1_Selplg_Selplg	pp_L_4	4.00891315222223	pp_R_1_Itgb2	pp_R_1	0.822438669815667	0.376404648459736
pp_L_4_Selplg	pp_L_4	1.74333729555556	pp_R_1_Plaur	pp_R_1	0.750244611981567	0.180120521776536
pp_L_4_Apoe	pp_L_4	0.410025462222222	pp_R_1_Scarb1	pp_R_1	0.208891609447005	0.00996373131451547
pp_L_4_Apoe_Lrpap1	pp_L_4	0.777632348888889	pp_R_1_Sorl1	pp_R_1	0.559087067741936	0.0179725346915154
pp_L_4_Tgfb1	pp_L_4	0.934349926666667	pp_R_1_Tgfbr1	pp_R_1	0.231535420506912	0.05173917097229
pp_L_4_Ltb	pp_L_4	0.266019595555556	pp_R_1_Tnfrsf1a	pp_R_1	0.612472388940092	0.00419399213445699
pp_L_4_Il16_Slpi_Vim	pp_L_4	1.65176038111111	pp_R_2_Cd44	pp_R_2	1.17838627837181	0.0563481520764486
pp_L_4_Il16_Slpi	pp_L_4	0.962278462222223	pp_R_2_Cd47	pp_R_2	1.95643094556501	0.0281743073196175
pp_L_4_Il16_Slpi	pp_L_4	0.962278462222223	pp_R_2_Cd48	pp_R_2	0.58904837982989	0.0281743073196175
pp_L_4_Sema4d	pp_L_4	0.374604717777778	pp_R_2_Cd72	pp_R_2	0.274704721749696	0.00831661963264407
pp_L_4_Tgfb1	pp_L_4	0.934349926666667	pp_R_2_Cxcr4	pp_R_2	0.352774068894289	0.05173917097229
pp_L_4_Rtn4	pp_L_4	0.622404158888889	pp_R_2_Gjb2	pp_R_2	0.302453690279465	0.0229585959971581
pp_L_4_Il1b	pp_L_4	0.386983978888889	pp_R_2_Il1r1	pp_R_2	0.381984271324423	0.00887536709937022
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_2_Il2ra	pp_R_2	0.48017607618469	0.016163604906663
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_2_Il2rg	pp_R_2	1.09342147521264	0.016163604906663
pp_L_4_Calr_Tgfb1	pp_L_4	2.67998542333334	pp_R_2_Itgav	pp_R_2	0.60696106925881	0.232334903182029
pp_L_4_Selplg	pp_L_4	1.74333729555556	pp_R_2_Sdc1	pp_R_2	0.325369593924666	0.180120521776536
pp_L_4_Ccl3	pp_L_4	0.625158753333333	pp_R_3_Ccr4	pp_R_3	0.30456438	0.0231622629082354
pp_L_4_Il16_Slpi_Vim	pp_L_4	1.65176038111111	pp_R_3_Cd44	pp_R_3	0.82089291	0.0563481520764486
pp_L_4_Il16_Slpi	pp_L_4	0.962278462222223	pp_R_3_Cd47	pp_R_3	1.68209703777778	0.0281743073196175
pp_L_4_Sema4d	pp_L_4	0.374604717777778	pp_R_3_Cd72	pp_R_3	0.431546713333333	0.00831661963264407
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_3_Il2ra	pp_R_3	0.440588115555556	0.016163604906663
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_3_Il2rg	pp_R_3	1.07728006555556	0.016163604906663
pp_L_4_Gnas	pp_L_4	2.57690665888889	pp_R_3_Ptgir	pp_R_3	0.342442835555556	0.393548017941108
pp_L_4_Il1b	pp_L_4	0.386983978888889	pp_R_4_Adrb2	pp_R_4	0.366464914444444	0.00887536709937022
pp_L_4_Gpi1	pp_L_4	0.983878703333333	pp_R_4_Amfr	pp_R_4	0.315869082222222	0.0573698182672372
pp_L_4_Ccl3_Ccl4_Gnai2_Il16	pp_L_4	5.29492294111111	pp_R_4_Ccr5	pp_R_4	1.57830656	0.600352770381141
pp_L_4_Ly86	pp_L_4	1.59280615111111	pp_R_4_Cd180	pp_R_4	0.37569194	0.150357882997809
pp_L_4_Il16_Il16_Il16_Il16_Slpi_Slpi_Slpi_Slpi_Vim	pp_L_4	0.962278462222223	pp_R_4_Cd4	pp_R_4	0.940274508888888	0.0281743073196175
pp_L_4_Il16_Slpi_Vim	pp_L_4	1.65176038111111	pp_R_4_Cd44	pp_R_4	3.33294161666667	0.0563481520764486
pp_L_4_Il16_Slpi	pp_L_4	0.962278462222223	pp_R_4_Cd47	pp_R_4	4.22943813111112	0.0281743073196175
pp_L_4_Il16_Slpi	pp_L_4	0.962278462222223	pp_R_4_Cd48	pp_R_4	1.01832549111111	0.0281743073196175
pp_L_4_Sema4d	pp_L_4	0.374604717777778	pp_R_4_Cd72	pp_R_4	0.375428123333333	0.00831661963264407
pp_L_4_Tgfb1	pp_L_4	0.934349926666667	pp_R_4_Cxcr4	pp_R_4	0.399112594444444	0.05173917097229
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_4_Il2rg	pp_R_4	0.420070762222222	0.016163604906663
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_4_Itgal	pp_R_4	0.261159475555556	0.016163604906663
pp_L_4_Icam1	pp_L_4	0.522238561111111	pp_R_4_Itgax	pp_R_4	0.382784257777778	0.016163604906663
pp_L_4_Adam17_Lgals3bp_Selplg_Timp2	pp_L_4	2.75742707888889	pp_R_4_Itgb1	pp_R_4	1.38841217333333	0.204244973110713
pp_L_4_Icam1_Selplg_Selplg	pp_L_4	4.00891315222223	pp_R_4_Itgb2	pp_R_4	0.751871169999999	0.376404648459736
pp_L_4_B2m	pp_L_4	4.02455347777778	pp_R_4_Klrd1	pp_R_4	0.492044583333333	0.959921588913307
pp_L_4_Apoe_Lrpap1	pp_L_4	0.777632348888889	pp_R_4_Lrp8	pp_R_4	0.621639531111112	0.0179725346915154
pp_L_4_Selplg	pp_L_4	1.74333729555556	pp_R_4_Plaur	pp_R_4	1.12651664888889	0.180120521776536
pp_L_4_Gnai2	pp_L_4	1.64792141666667	pp_R_4_S1pr4	pp_R_4	0.405787712222222	0.160943465998277
pp_L_4_Selplg	pp_L_4	1.74333729555556	pp_R_4_Sell	pp_R_4	1.10356572888889	0.180120521776536
pp_L_4_Apoe_Lrpap1	pp_L_4	0.777632348888889	pp_R_4_Sorl1	pp_R_4	0.473109886666666	0.0179725346915154
pp_L_4_B2m_Trf	pp_L_4	4.38149990111111	pp_R_4_Tfrc	pp_R_4	0.562345717777778	0.967472622868189
pp_L_4_Tgfb1	pp_L_4	0.934349926666667	pp_R_4_Tgfbr1	pp_R_4	0.539971274444444	0.05173917097229
